SNP	eGene	CHR	POS	SNP_PHENOTYPE	END	First_Level	PHENOTYPE	Metabolism	Locus	Locus name	Entrez Gene Name	Location	Type(s)	Most associated metabolite or ratio	Biochemical locus-metabolite relationship [PMID]	Predicted causal gene	eQTL (gene and tissue)	Complex trait association [PMID]	Metabolite association [PMID]	Inborn error metabolism	Gene/protein classification (DT=drug target, ME=metabolic enzyme, TP=transporter)	ChEMBL ID	Drug information	In development PharmaProjects (preclinical, Phase I to III, pre-registration, registration)	Failed PharmaProjects (Suspended, withdrawn, no development)	split_eQTLs	causal_eGene	split	Overlap
rs1005390	VIPR2	7	158822887	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	158937649	Environmental Information Processing		False	65	ABP1 (AOC1)	amiloride binding protein 1 (amine oxidase (copper-containing))	Extracellular Space	enzyme	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	ABP1 (now called AOC1) encodes a copper containing amide oxidase which can deaminate N1-acetylspermidine to produce N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga).  X-03056 has been annotated as N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga). Ratio interepretation: 'selectivity'.	ABP1 (AOC1)	KCNH2-LCL,REPIN1-LCL,TMEM176A-FAT	NA	NA	NA	ME	CHEMBL2118	No specific drug is primarily metabolised by this enzyme; compounds with inhibitory activity in ChEMBL	NA	NA	KCNH2 LCL REPIN1 LCL TMEM176A FAT	False	ABP1  AOC1 	False
rs10112574	ADHFE1	8	67344718	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	67383675	Unknown		False	70	ADHFE1	alcohol dehydrogenase, iron containing, 1	Cytoplasm	enzyme	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	ADHFE1 encodes  the hydroxyacid-oxoacid transhydrogenase which catalyzes the oxidation of 4-hydroxybutanoic acid to 4-oxobutanoic acid, while reducing 2-oxoglutarate to 2-hydroxyglutarate [16616524]. X-05491 was identified as 2-hydroxyglutarate and its closest neighbor is X-04499 in the GGM.  X-04499 was identified as 3,4 dihydroxybutyrate. [23093944].  Ratio interpretation: n/a.	ADHFE1	ADHFE1-FAT,ADHFE1-LCL,C8orf46-FAT	NA	NA	NA	ME	CHEMBL4947	No specific drug is primarily metabolised by this enzyme; compounds with activity in ChEMBL	NA	NA	ADHFE1 FAT ADHFE1 LCL C8orf46 FAT	True	ADHFE1	True
rs10112574	C8orf46	8	67372238	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	67430759	Unknown		False	70	ADHFE1	alcohol dehydrogenase, iron containing, 1	Cytoplasm	enzyme	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	ADHFE1 encodes  the hydroxyacid-oxoacid transhydrogenase which catalyzes the oxidation of 4-hydroxybutanoic acid to 4-oxobutanoic acid, while reducing 2-oxoglutarate to 2-hydroxyglutarate [16616524]. X-05491 was identified as 2-hydroxyglutarate and its closest neighbor is X-04499 in the GGM.  X-04499 was identified as 3,4 dihydroxybutyrate. [23093944].  Ratio interpretation: n/a.	ADHFE1	ADHFE1-FAT,ADHFE1-LCL,C8orf46-FAT	NA	NA	NA	ME	CHEMBL4947	No specific drug is primarily metabolised by this enzyme; compounds with activity in ChEMBL	NA	NA	ADHFE1 FAT ADHFE1 LCL C8orf46 FAT	True	ADHFE1	False
rs10112574	MYBL1	8	67474410	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	67525529	Unknown		False	70	ADHFE1	alcohol dehydrogenase, iron containing, 1	Cytoplasm	enzyme	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	ADHFE1 encodes  the hydroxyacid-oxoacid transhydrogenase which catalyzes the oxidation of 4-hydroxybutanoic acid to 4-oxobutanoic acid, while reducing 2-oxoglutarate to 2-hydroxyglutarate [16616524]. X-05491 was identified as 2-hydroxyglutarate and its closest neighbor is X-04499 in the GGM.  X-04499 was identified as 3,4 dihydroxybutyrate. [23093944].  Ratio interpretation: n/a.	ADHFE1	ADHFE1-FAT,ADHFE1-LCL,C8orf46-FAT	NA	NA	NA	ME	CHEMBL4947	No specific drug is primarily metabolised by this enzyme; compounds with activity in ChEMBL	NA	NA	ADHFE1 FAT ADHFE1 LCL C8orf46 FAT	True	ADHFE1	False
rs10112574	FOXN3	14	89591215	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	90085493	Unknown		False	70	ADHFE1	alcohol dehydrogenase, iron containing, 1	Cytoplasm	enzyme	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	ADHFE1 encodes  the hydroxyacid-oxoacid transhydrogenase which catalyzes the oxidation of 4-hydroxybutanoic acid to 4-oxobutanoic acid, while reducing 2-oxoglutarate to 2-hydroxyglutarate [16616524]. X-05491 was identified as 2-hydroxyglutarate and its closest neighbor is X-04499 in the GGM.  X-04499 was identified as 3,4 dihydroxybutyrate. [23093944].  Ratio interpretation: n/a.	ADHFE1	ADHFE1-FAT,ADHFE1-LCL,C8orf46-FAT	NA	NA	NA	ME	CHEMBL4947	No specific drug is primarily metabolised by this enzyme; compounds with activity in ChEMBL	NA	NA	ADHFE1 FAT ADHFE1 LCL C8orf46 FAT	True	ADHFE1	False
rs10211524	SLC1A4	2	65215611	2-aminobutyrate	65250999	Unknown		False	17	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	Plasma Membrane	transporter	2-aminobutyrate	SLC1A4 encodes a neutral amino acid transporter with demonstrated activity for alanine, serine, cysteine and threonine [7896285].  2-aminobutyrate is structurally similar to these amino acids.	SLC1A4	NA	NA	Metabolite levels [22916037]	NA	NA	CHEMBL2315	Compounds with low inibitory activity in ChEMBL	NA	NA	NA	False	SLC1A4	True
rs10242455	TRIM4	7	99488036	X-12063	99517223	Unknown		False	61	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	Cytoplasm	enzyme	X-12063	CYP3A5 encodes a P450 with 6beta-hydroxylation activity against multiple steroids  [10403825].  X-12063 seems to be an unusual bile acid.	CYP3A5	CYP3A5-LIVER,CYP3A5-FAT,BUD31-LCL,TRIM4-Skin,ZNF394-LCL	NA	X-12063 [23093944]	NA	ME	CHEMBL3019	Substrates: Midazolam, tracolimus, erythromycin, flunitrazepa	NA	NA	CYP3A5 LIVER CYP3A5 FAT BUD31 LCL TRIM4 Skin ZNF394 LCL	True	CYP3A5	False
rs10242455	CYP3A5	7	99245817	X-12063	99277621	Metabolism, Human Diseases	Xenobiotics biodegradation and metabolism	True	61	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	Cytoplasm	enzyme	X-12063	CYP3A5 encodes a P450 with 6beta-hydroxylation activity against multiple steroids  [10403825].  X-12063 seems to be an unusual bile acid.	CYP3A5	CYP3A5-LIVER,CYP3A5-FAT,BUD31-LCL,TRIM4-Skin,ZNF394-LCL	NA	X-12063 [23093944]	NA	ME	CHEMBL3019	Substrates: Midazolam, tracolimus, erythromycin, flunitrazepa	NA	NA	CYP3A5 LIVER CYP3A5 FAT BUD31 LCL TRIM4 Skin ZNF394 LCL	True	CYP3A5	True
rs10242455	ATP5J2	7	99046098	X-12063	99063954	Unknown		False	61	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	Cytoplasm	enzyme	X-12063	CYP3A5 encodes a P450 with 6beta-hydroxylation activity against multiple steroids  [10403825].  X-12063 seems to be an unusual bile acid.	CYP3A5	CYP3A5-LIVER,CYP3A5-FAT,BUD31-LCL,TRIM4-Skin,ZNF394-LCL	NA	X-12063 [23093944]	NA	ME	CHEMBL3019	Substrates: Midazolam, tracolimus, erythromycin, flunitrazepa	NA	NA	CYP3A5 LIVER CYP3A5 FAT BUD31 LCL TRIM4 Skin ZNF394 LCL	True	CYP3A5	False
rs10242455	ARPC1B	7	98971872	X-12063	98992424	Cellular Processes, Organismal Systems, Human Diseases		False	61	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	Cytoplasm	enzyme	X-12063	CYP3A5 encodes a P450 with 6beta-hydroxylation activity against multiple steroids  [10403825].  X-12063 seems to be an unusual bile acid.	CYP3A5	CYP3A5-LIVER,CYP3A5-FAT,BUD31-LCL,TRIM4-Skin,ZNF394-LCL	NA	X-12063 [23093944]	NA	ME	CHEMBL3019	Substrates: Midazolam, tracolimus, erythromycin, flunitrazepa	NA	NA	CYP3A5 LIVER CYP3A5 FAT BUD31 LCL TRIM4 Skin ZNF394 LCL	True	CYP3A5	False
rs10242455	CYP3A43	7	99425636	X-12063	99463718	Human Diseases		False	61	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	Cytoplasm	enzyme	X-12063	CYP3A5 encodes a P450 with 6beta-hydroxylation activity against multiple steroids  [10403825].  X-12063 seems to be an unusual bile acid.	CYP3A5	CYP3A5-LIVER,CYP3A5-FAT,BUD31-LCL,TRIM4-Skin,ZNF394-LCL	NA	X-12063 [23093944]	NA	ME	CHEMBL3019	Substrates: Midazolam, tracolimus, erythromycin, flunitrazepa	NA	NA	CYP3A5 LIVER CYP3A5 FAT BUD31 LCL TRIM4 Skin ZNF394 LCL	True	CYP3A5	False
rs1046080	LY6G5B	6	31637944	X-11444/ X-11470	31641553	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	HLA-DRB6	6	32520490	X-11444/ X-11470	32527799	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	LY6G5C	6	31644461	X-11444/ X-11470	31651817	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	NOTCH4	6	32162620	X-11444/ X-11470	32191844	Environmental Information Processing, Organismal Systems, Human Diseases		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	PSORS1C3	6	31141512	X-11444/ X-11470	31145676	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	ATF6B	6	32083112	X-11444/ X-11470	32096030	Genetic Information Processing, Environmental Information Processing, Organismal Systems, Human Diseases		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	SKIV2L	6	31926888	X-11444/ X-11470	31937532	Genetic Information Processing		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	HCG27	6	31165915	X-11444/ X-11470	31171745	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	PRRT1	6	32116136	X-11444/ X-11470	32121621	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	STK19	6	31938943	X-11444/ X-11470	31949228	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	HCG20	6	30734602	X-11444/ X-11470	30760027	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	BAG6	6	31606805	X-11444/ X-11470	31620482	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	MICB	6	31462658	X-11444/ X-11470	31478901	Organismal Systems		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	DDAH2	6	31694815	X-11444/ X-11470	31698357	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	LY6G6E	6	31679548	X-11444/ X-11470	31681842	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	DXO	6	31937587	X-11444/ X-11470	31940069	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	NELFE	6	31919864	X-11444/ X-11470	31926856	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	LINC00243	6	30766431	X-11444/ X-11470	30798436	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	VWA7	6	31733367	X-11444/ X-11470	31745108	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	PRRC2A	6	31588497	X-11444/ X-11470	31605548	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	HLA-DQB1	6	32627244	X-11444/ X-11470	32636160	Environmental Information Processing, Cellular Processes, Organismal Systems, Human Diseases		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	NUDT3	6	34254546	X-11444/ X-11470	34360451	Unknown		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs1046080	SIPA1L1	14	71787166	X-11444/ X-11470	72207946	Environmental Information Processing		False	50	PRRC2A	proline-rich coiled-coil 2A	Cytoplasm	other	X-11444/ X-11470	X-11470 is a GGM neighbor of cortisol [23093944]. Ratio interpretation: n/a.	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs10468017	ALDH1A2	15	58245622	1-palmitoylglycero-phosphoethanolamine	58790065	Metabolism	Metabolism of cofactors and vitamins	True	108	LIPC	solute carrier family 27 (fatty acid transporter), member 2	Cytoplasm	transporter	1-palmitoylglycero-phosphoethanolamine	LIPC encodes hepatic lipase with activity against both triacylglycerols and phospholipids [6511790].  Hydrolysis of phospholipids generates lysolipids and fatty acids.	LIPC	SLTM-LCL	Age-related macular degeneration [21665990,20385826]; Cardiovascular disease risk factors [21943158]; HDL cholesterol [19060906,18193043]; Metabolic syndrome (bivariate traits) [21386085]; Phospholipid levels (plasma) [22359512]; Triglycerides [18193043]	PE [19043545]; LPE 16:0 [23823483]	NA	NA	CHEMBL2127	Compounds with no activity in ChEMBL	NA	NA	SLTM LCL	False	LIPC	False
rs10468017	KIAA1467	12	13197218	1-palmitoylglycero-phosphoethanolamine	13295455	Unknown		False	108	LIPC	solute carrier family 27 (fatty acid transporter), member 2	Cytoplasm	transporter	1-palmitoylglycero-phosphoethanolamine	LIPC encodes hepatic lipase with activity against both triacylglycerols and phospholipids [6511790].  Hydrolysis of phospholipids generates lysolipids and fatty acids.	LIPC	SLTM-LCL	Age-related macular degeneration [21665990,20385826]; Cardiovascular disease risk factors [21943158]; HDL cholesterol [19060906,18193043]; Metabolic syndrome (bivariate traits) [21386085]; Phospholipid levels (plasma) [22359512]; Triglycerides [18193043]	PE [19043545]; LPE 16:0 [23823483]	NA	NA	CHEMBL2127	Compounds with no activity in ChEMBL	NA	NA	SLTM LCL	False	LIPC	False
rs10491431	RANBP3L	5	36248536	X-11445--5-alpha-pregnan-3beta,20alpha-disulfate	36302216	Unknown		False	41	UGT3A1	UDP glycosyltransferase 3 family, polypeptide A1	unknown	enzyme	X-11445--5-alpha-pregnan-3beta,20alpha-disulfate	UGT3A1 has activity against 17alpha-estradiol and 17beta-estradiol [18981171].  UGT3A2 has activity against estrogens [21088224]. X-11445 has been identified as 5-alpha-pregnan-3beta,20alpha-disulfate	UGT3A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	UGT3A1	False
