Gene	Protein class	Subcellular location	RNA tissue category	RNA TS	RNA TS TPM	RNA cell line category	RNA CS	RNA CS TPM
NFATC3	Predicted intracellular proteins, Transcription factors	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
KDM5A	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Nuclear bodies, Cytosol	Expressed in all			Expressed in all		
MRPS34	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Mitochondria	Expressed in all			Expressed in all		
TSG101	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Nucleoli, Plasma membrane, Cytosol	Expressed in all			Expressed in all		
MARK3	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Nuclear membrane	Expressed in all			Expressed in all		
EXOSC7	Predicted intracellular proteins	Nuclear speckles	Expressed in all			Expressed in all		
MCM6	Enzymes, Plasma proteins, Predicted intracellular proteins	Nucleoplasm	Mixed			Expressed in all		
RBMS2	Plasma proteins, Predicted intracellular proteins	Nucleus, Nucleoli fibrillar center, Cytosol	Expressed in all			Mixed		
MCCC1	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Mitochondria	Expressed in all			Expressed in all		
MKNK1	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Nucleoplasm	Expressed in all			Expressed in all		
CDC14A	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nucleoplasm, Nuclear bodies, Cytosol	Tissue enhanced		testis: 56.3	Cell line enhanced		K-562: 25.8
PGM1	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Actin filaments	Expressed in all			Mixed		
HSP90AA1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
DLGAP4	Predicted intracellular proteins	Nucleoplasm, Focal adhesion sites, Cytosol	Expressed in all			Expressed in all		
CCNT2	Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Plasma membrane, Cytosol	Expressed in all			Expressed in all		
PALB2	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Nucleoplasm	Mixed			Expressed in all		
DOPEY1	Predicted intracellular proteins, Predicted membrane proteins	Nucleus, Vesicles	Mixed			Mixed		
GCKR	Predicted intracellular proteins	Intermediate filaments	Tissue enriched	7	liver: 44.3	Group enriched	7	HEL: 12.0;Hep G2: 14.0;HUVEC TERT2: 5.3;TIME: 3.2
CAD	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
RRN3	Plasma proteins, Predicted intracellular proteins	Nucleoli	Expressed in all			Expressed in all		
USP40	Enzymes, Predicted intracellular proteins	Vesicles	Expressed in all			Mixed		
MAST2	Cancer-related genes, Enzymes, Predicted membrane proteins	Cytosol	Expressed in all			Expressed in all		
PSMC5	Plasma proteins, Predicted intracellular proteins	Plasma membrane, Cytosol	Expressed in all			Expressed in all		
CETP	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters		Group enriched	6	adipose tissue: 36.9;liver: 21.7;lymph node: 46.3;placenta: 50.4;spleen: 77.7	Cell line enhanced		HEL: 2.4;HUVEC TERT2: 3.6;TIME: 2.1
DOCK3	Disease related genes, Predicted intracellular proteins	Cytosol	Group enriched	6	cerebral cortex: 33.7;parathyroid gland: 12.6;testis: 8.5;thyroid gland: 15.1	Cell line enhanced		AN3-CA: 5.9;U-87 MG: 8.0
PPP1R13B	Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Cytosol	Mixed			Mixed		
F11	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Vesicles	Tissue enhanced		liver: 180.1	Cell line enriched	8	Hep G2: 6.0
GANAB	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Nuclear membrane, Endoplasmic reticulum, Cytosol	Expressed in all			Expressed in all		
NLRC4	Disease related genes, Plasma proteins, Predicted intracellular proteins		Tissue enhanced		appendix: 12.4	Cell line enhanced		HL-60: 2.4
SPAG7	Predicted intracellular proteins	Nucleus	Expressed in all			Expressed in all		
PHGDH	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nucleoplasm, Plasma membrane, Cytosol	Tissue enhanced		parathyroid gland: 216.7	Mixed		
COMT	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Endoplasmic reticulum, Vesicles	Expressed in all			Expressed in all		
FMO2	Enzymes, Predicted membrane proteins, Predicted secreted proteins		Tissue enhanced		adipose tissue: 98.3;esophagus: 102.9;lung: 158.2	Group enriched	48	ASC diff: 27.9;ASC TERT1: 12.9;HSkMC: 35.2
HOOK2	Predicted intracellular proteins	Vesicles, Cytosol	Expressed in all			Expressed in all		
CRAT	Enzymes, Predicted intracellular proteins, Transporters	Nucleoplasm, Nuclear membrane	Expressed in all			Mixed		
TLL2	Enzymes, Predicted secreted proteins		Tissue enhanced		cerebral cortex: 1.9	Cell line enriched	8	RPTEC TERT1: 15.3
NUBP2	Predicted intracellular proteins	Nucleus, Cytosol	Expressed in all			Expressed in all		
SCD	Enzymes, Predicted membrane proteins	Endoplasmic reticulum	Expressed in all			Expressed in all		
MYO9B	Disease related genes, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
IGFALS	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Nucleoplasm	Group enriched	6	liver: 25.0;stomach: 6.6	Cell line enhanced		Hep G2: 1.2;U-266/70: 1.3
ARVCF	Predicted intracellular proteins	Plasma membrane, Cell Junctions	Mixed			Cell line enhanced		K-562: 18.0;SCLC-21H: 21.2;SH-SY5Y: 14.7;U-2 OS: 16.4
SMARCB1	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Nucleoli fibrillar center	Expressed in all			Expressed in all		
CABIN1	Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Aggresome, Cytosol	Expressed in all			Expressed in all		
PRODH	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins		Tissue enhanced		small intestine: 25.2	Cell line enriched	6	RPTEC TERT1: 28.5
CHKB	Enzymes, Plasma proteins, Predicted intracellular proteins	Cytosol	Mixed			Mixed		
ARSA	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Golgi apparatus, Cytosol	Expressed in all			Cell line enhanced		Karpas-707: 58.2
TELO2	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Nuclear bodies, Cytosol	Expressed in all			Expressed in all		
LIPG	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Group enriched	11	placenta: 214.4;thyroid gland: 403.2	Cell line enhanced		AN3-CA: 113.7;HaCaT: 167.5;RPTEC TERT1: 93.8;TIME: 201.4
FGF14	Disease related genes, Predicted intracellular proteins, RAS pathway related proteins	Nucleoli fibrillar center	Tissue enhanced		cerebral cortex: 14.8;cervix, uterine: 22.9;fallopian tube: 17.2	Group enriched	7	SCLC-21H: 5.4;SH-SY5Y: 20.7;U-87 MG: 4.1
NME3	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Nucleoplasm, Cytosol	Expressed in all			Cell line enhanced		HEK 293: 64.8
SLC38A7	Predicted membrane proteins, Transporters	Nucleoplasm, Plasma membrane, Cytosol	Mixed			Expressed in all		
SMPD3	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Endoplasmic reticulum	Tissue enhanced		duodenum: 61.0;small intestine: 62.9	Cell line enhanced		HMC-1: 8.5;MOLT-4: 11.7;RPMI-8226: 8.3;SCLC-21H: 15.6
SLC7A6	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Vesicles, Plasma membrane	Mixed			Expressed in all		
PLA2G15	Predicted membrane proteins, Predicted secreted proteins	Nucleoplasm, Vesicles	Expressed in all			Expressed in all		
ABCC1	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Plasma membrane	Mixed			Cell line enhanced		EFO-21: 84.1
SLC7A5	Predicted membrane proteins, Transporters	Vesicles, Plasma membrane, Cytosol	Tissue enhanced		cerebral cortex: 90.3;testis: 84.3	Expressed in all		
EEF2K	Enzymes, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
LACTB	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Mitochondria	Expressed in all			Expressed in all		
CEP152	Disease related genes, Plasma proteins, Predicted intracellular proteins	Centrosome	Tissue enhanced		testis: 18.1	Expressed in all		
ATP8B4	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Nucleoplasm, Vesicles	Tissue enhanced		bone marrow: 23.0	Cell line enhanced		HMC-1: 32.2;THP-1: 16.5;U-937: 60.0
CPQ	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Golgi apparatus, Vesicles	Expressed in all			Cell line enhanced		ASC TERT1: 92.2
ASF1B	Predicted intracellular proteins	Nucleoplasm	Tissue enhanced		testis: 37.2	Mixed		
PDCD5	Plasma proteins, Predicted intracellular proteins	Nucleus, Cytosol	Expressed in all			Expressed in all		
SULT2A1	Enzymes, Predicted intracellular proteins	Cytosol	Tissue enhanced		adrenal gland: 189.9;liver: 514.2	Group enriched	30	Hep G2: 25.8;RT4: 20.3
FAM83E	Predicted intracellular proteins		Tissue enhanced		duodenum: 30.8;small intestine: 35.3;stomach: 40.7	Cell line enhanced		CAPAN-2: 2.9
RASIP1	Predicted intracellular proteins		Mixed			Cell line enhanced		HEK 293: 12.7;HUVEC TERT2: 30.5;SiHa: 20.8;TIME: 40.9
WDR83OS	Predicted membrane proteins	Endoplasmic reticulum	Expressed in all			Expressed in all		
GCDH	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Mitochondria	Expressed in all			Expressed in all		
DNASE2	Enzymes, Predicted secreted proteins		Expressed in all			Expressed in all		
PRPF31	Disease related genes, Predicted intracellular proteins	Nucleus	Expressed in all			Expressed in all		
ISYNA1	Enzymes, Predicted intracellular proteins	Nucleus, Cytosol	Tissue enhanced		testis: 117.3	Cell line enhanced		BEWO: 475.1
ELL	Cancer-related genes, Disease related genes, Predicted intracellular proteins		Expressed in all			Expressed in all		
AVL9	Predicted intracellular proteins, Predicted membrane proteins	Endoplasmic reticulum	Expressed in all			Mixed		
MTPN	Plasma proteins, Predicted intracellular proteins	Plasma membrane, Cytosol	Expressed in all			Expressed in all		
VIPR2	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins		Tissue enhanced		seminal vesicle: 28.3	Cell line enhanced		HMC-1: 7.8;MOLT-4: 10.2;U-266/70: 30.8
PTCD1	Predicted intracellular proteins	Mitochondria	Mixed			Expressed in all		
CYP3A5	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Cytosol	Tissue enhanced		duodenum: 114.8;liver: 93.2;small intestine: 187.6	Cell line enhanced		A549: 2.5;CACO-2: 7.9;CAPAN-2: 5.7;Hep G2: 5.0
TAF6	Disease related genes, Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
TMEM176B	Predicted membrane proteins	Nucleoplasm, Golgi apparatus, Plasma membrane	Expressed in all			Group enriched	13	HSkMC: 462.2;THP-1: 144.5
TBC1D13	Predicted intracellular proteins	Nucleoli	Expressed in all			Expressed in all		
PDLIM1	Plasma proteins, Predicted intracellular proteins	Plasma membrane, Cell Junctions, Actin filaments	Expressed in all			Cell line enhanced		HaCaT: 680.7
HPS1	Disease related genes, Predicted intracellular proteins		Expressed in all			Mixed		
CCDC6	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
TBC1D12	Cancer-related genes, Predicted intracellular proteins	Nucleoplasm, Nuclear speckles	Mixed			Mixed		
CYP2C18	Enzymes, Plasma proteins, Predicted secreted proteins		Group enriched	11	duodenum: 103.1;esophagus: 24.6;gallbladder: 24.5;liver: 97.8;small intestine: 88.1;stomach: 62.2	Cell line enhanced		BEWO: 3.0
CAMTA2	Predicted intracellular proteins	Nucleus, Actin filaments, Mitochondria	Expressed in all			Mixed		
ENO3	Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Plasma membrane, Cytosol	Tissue enriched	17	skeletal muscle: 5974.6	Expressed in all		
RNF167	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Cytosol	Expressed in all			Expressed in all		
SLC25A11	Plasma proteins, Predicted membrane proteins, Transporters		Expressed in all			Expressed in all		
C1QBP	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters	Plasma membrane, Mitochondria	Expressed in all			Expressed in all		
FTSJ3	Predicted intracellular proteins	Nucleoli	Expressed in all			Expressed in all		
ALOX12	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nuclear speckles, Cytosol	Group enriched	8	esophagus: 50.3;skin: 25.9	Group enriched	5	A-431: 22.4;HEL: 36.7
SLC2A9	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters		Tissue enhanced		kidney: 30.8;seminal vesicle: 27.2	Cell line enhanced		HBEC3-KT: 34.8;Hep G2: 16.1;hTCEpi: 14.4;THP-1: 13.9;U-937: 10.7
UFSP2	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleus, Cytosol	Expressed in all			Expressed in all		
FAM149A	Predicted intracellular proteins	Golgi apparatus	Mixed			Cell line enhanced		ASC diff: 7.6;RT4: 7.7;SCLC-21H: 16.7
HPS5	Disease related genes, Plasma proteins, Predicted intracellular proteins		Expressed in all			Expressed in all		
GTF2H1	Cancer-related genes, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
PSMD9	Plasma proteins, Predicted intracellular proteins	Plasma membrane, Cytosol	Expressed in all			Expressed in all		
MLEC	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins		Expressed in all			Expressed in all		
SLC6A12	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Vesicles	Tissue enhanced		kidney: 29.5;liver: 43.6	Group enriched	10	Hep G2: 4.9;RPTEC TERT1: 10.5
ALDH2	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins		Expressed in all			Cell line enhanced		HHSteC: 81.5;SK-BR-3: 150.4
STX2	Cancer-related genes, Predicted membrane proteins	Nucleus, Cytosol	Expressed in all			Expressed in all		
TRIM38	Enzymes, Predicted intracellular proteins	Plasma membrane, Cell Junctions, Centrosome	Mixed			Mixed		
SLC16A10	Predicted membrane proteins, Transporters	Vesicles, Cell Junctions	Tissue enhanced		placenta: 38.6	Cell line enhanced		HAP1: 53.9;HEK 293: 20.6;RPMI-8226: 30.8
ZNF346	Predicted intracellular proteins	Nucleus	Expressed in all			Expressed in all		
NRBP1	Enzymes, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
FNDC4	Predicted membrane proteins	Nucleoplasm, Aggresome, Cytosol	Tissue enhanced		adrenal gland: 72.5	Cell line enhanced		AN3-CA: 31.3;HUVEC TERT2: 34.8;SH-SY5Y: 33.9;TIME: 31.2
SNX17	Predicted intracellular proteins	Vesicles	Expressed in all			Expressed in all		
PPM1G	Enzymes, Predicted intracellular proteins	Nucleoplasm	Tissue enriched	5	testis: 337.3	Expressed in all		
DARS	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
SLC1A4	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Centrosome	Expressed in all			Expressed in all		
ALMS1	Predicted intracellular proteins	Cytosol	Tissue enhanced		testis: 32.5	Cell line enhanced		RH-30: 26.7
DOCK7	Disease related genes, Predicted intracellular proteins		Expressed in all			Mixed		
CD2	CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins		Tissue enhanced		lymph node: 131.1	Group enriched	27	HDLM-2: 201.2;MOLT-4: 129.2
ACADM	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Mitochondria	Expressed in all			Expressed in all		
ERI3	Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
PRDX1	Enzymes, Plasma proteins, Predicted intracellular proteins	Mitochondria	Expressed in all			Expressed in all		
PIK3R3	Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins	Nucleoplasm, Vesicles	Mixed			Expressed in all		
TSPAN1	Predicted membrane proteins	Nucleoplasm, Vesicles	Tissue enhanced		colon: 525.0;rectum: 651.6	Cell line enhanced		CAPAN-2: 191.2;HaCaT: 134.4;hTCEpi: 125.3;RPTEC TERT1: 474.4;RT4: 246.2
NSUN4	Predicted intracellular proteins		Tissue enriched	14	testis: 98.9	Expressed in all		
ZNF430	Predicted intracellular proteins, Transcription factors		Mixed			Mixed		
VSX2	Disease related genes, Predicted intracellular proteins, Transcription factors		Not detected			Not detected		
ACOT2	Enzymes, Plasma proteins, Predicted intracellular proteins	Mitochondria	Expressed in all			Mixed		
IDE	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Expressed in all			Expressed in all		
PYROXD2	Predicted intracellular proteins	Mitochondria	Mixed			Cell line enhanced		U-937: 24.6
HELLS	Disease related genes, Predicted intracellular proteins	Nucleus, Golgi apparatus, Vesicles	Tissue enhanced		testis: 23.9	Expressed in all		
TCTN3	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Microtubules	Expressed in all			Expressed in all		
SFRP5	Predicted secreted proteins		Tissue enhanced		duodenum: 30.9;pancreas: 31.2;small intestine: 29.4	Cell line enhanced		A549: 2.3;CACO-2: 10.5;RPMI-8226: 3.2;SCLC-21H: 2.4
CCDC77	Predicted intracellular proteins	Nuclear membrane	Mixed			Expressed in all		
ADRA1A	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins		Tissue enhanced		adipose tissue: 22.6;liver: 31.6;prostate: 20.8	Not detected		
CEP89	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Plasma membrane, Cytosol	Mixed			Expressed in all		
ACADS	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Mitochondria	Expressed in all			Cell line enhanced		HMC-1: 30.0
SLC17A3	Predicted membrane proteins, Transporters		Tissue enriched	9	kidney: 168.7	Cell line enriched	177	RPTEC TERT1: 87.1
SLC17A1	Predicted membrane proteins, Transporters	Golgi apparatus	Tissue enriched	7	kidney: 174.5	Cell line enriched	490	RPTEC TERT1: 48.9
EEF1E1	Predicted intracellular proteins, Predicted membrane proteins	Nucleus, Cytosol	Expressed in all			Expressed in all		
GOT2	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins, Transporters		Expressed in all			Expressed in all		
ABCC4	Plasma proteins, Predicted membrane proteins, Transporters		Tissue enhanced		prostate: 70.4	Group enriched	5	HEL: 277.0;HMC-1: 278.6
IRF1	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
MBOAT7	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Cytosol	Expressed in all			Cell line enhanced		HMC-1: 150.7
ATG4C	Enzymes, Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
SYMPK	Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Plasma membrane, Cytosol	Expressed in all			Expressed in all		
KLC1	Predicted intracellular proteins	Nucleoplasm, Plasma membrane, Cytosol	Expressed in all			Expressed in all		
XRCC3	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Nucleus	Expressed in all			Expressed in all		
CHTF18	Predicted intracellular proteins	Nucleoplasm, Cytosol	Mixed			Cell line enhanced		BEWO: 46.5
MACF1	Predicted intracellular proteins, Predicted membrane proteins	Plasma membrane, Cell Junctions, Actin filaments	Expressed in all			Expressed in all		
ECHS1	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Mitochondria	Expressed in all			Expressed in all		
ALDH1A2	Enzymes, Predicted intracellular proteins		Tissue enhanced		endometrium: 118.1;fallopian tube: 108.9	Group enriched	6	AN3-CA: 352.0;HEK 293: 116.8;K-562: 305.3;MOLT-4: 330.5
IVD	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoplasm, Mitochondria	Expressed in all			Mixed		
KNSTRN	Disease related genes, Predicted intracellular proteins	Microtubules, Mitotic spindle, Cytosol	Tissue enhanced		testis: 113.9	Expressed in all		
COPB1	Plasma proteins, Predicted intracellular proteins	Golgi apparatus, Vesicles, Cytosol	Expressed in all			Expressed in all		
SUMF2	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Vesicles, Plasma membrane	Expressed in all			Expressed in all		
KIF1C	Disease related genes, Plasma proteins, Predicted intracellular proteins		Expressed in all			Expressed in all		
APOE	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Vesicles	Expressed in all			Cell line enhanced		ASC diff: 1276.1;Hep G2: 626.6;HSkMC: 991.4;SK-MEL-30: 1417.0
ARPC1B	Plasma proteins, Predicted intracellular proteins	Vesicles, Cytosol	Expressed in all			Expressed in all		
