SNP	ANNOTATION	CHR	POS	SNP_PHENOTYPE	END	rsID	First_Level	PHENOTYPE	Metabolism
rs10242455	TRIM4	7	99488036	X-12063	99517223	rs10242455	Unknown		False
rs10242455	CYP3A5	7	99245817	X-12063	99277621	rs10242455	Metabolism, Human Diseases	Xenobiotics biodegradation and metabolism	True
rs10242455	ATP5J2	7	99046098	X-12063	99063954	rs10242455	Unknown		False
rs10242455	ARPC1B	7	98971872	X-12063	98992424	rs10242455	Cellular Processes, Organismal Systems, Human Diseases		False
rs10242455	CYP3A43	7	99425636	X-12063	99463718	rs10242455	Human Diseases		False
rs1046080	LY6G5B	6	31637944	X-11444/ X-11470	31641553	rs1046080	Unknown		False
rs1046080	HLA-DRB6	6	32520490	X-11444/ X-11470	32527799	rs1046080	Unknown		False
rs1046080	LY6G5C	6	31644461	X-11444/ X-11470	31651817	rs1046080	Unknown		False
rs1046080	NOTCH4	6	32162620	X-11444/ X-11470	32191844	rs1046080	Environmental Information Processing, Organismal Systems, Human Diseases		False
rs1046080	PSORS1C3	6	31141512	X-11444/ X-11470	31145676	rs1046080	Unknown		False
rs1046080	ATF6B	6	32083112	X-11444/ X-11470	32096030	rs1046080	Genetic Information Processing, Environmental Information Processing, Organismal Systems, Human Diseases		False
rs1046080	SKIV2L	6	31926888	X-11444/ X-11470	31937532	rs1046080	Genetic Information Processing		False
rs1046080	HCG27	6	31165915	X-11444/ X-11470	31171745	rs1046080	Unknown		False
rs1046080	PRRT1	6	32116136	X-11444/ X-11470	32121621	rs1046080	Unknown		False
rs1046080	STK19	6	31938943	X-11444/ X-11470	31949228	rs1046080	Unknown		False
rs1046080	HCG20	6	30734602	X-11444/ X-11470	30760027	rs1046080	Unknown		False
rs1046080	BAG6	6	31606805	X-11444/ X-11470	31620482	rs1046080	Unknown		False
rs1046080	MICB	6	31462658	X-11444/ X-11470	31478901	rs1046080	Organismal Systems		False
rs1046080	DDAH2	6	31694815	X-11444/ X-11470	31698357	rs1046080	Unknown		False
rs1046080	LY6G6E	6	31679548	X-11444/ X-11470	31681842	rs1046080	Unknown		False
rs1046080	DXO	6	31937587	X-11444/ X-11470	31940069	rs1046080	Unknown		False
rs1046080	NELFE	6	31919864	X-11444/ X-11470	31926856	rs1046080	Unknown		False
rs1046080	LINC00243	6	30766431	X-11444/ X-11470	30798436	rs1046080	Unknown		False
rs1046080	VWA7	6	31733367	X-11444/ X-11470	31745108	rs1046080	Unknown		False
rs1046080	PRRC2A	6	31588497	X-11444/ X-11470	31605548	rs1046080	Unknown		False
rs1046080	HLA-DQB1	6	32627244	X-11444/ X-11470	32636160	rs1046080	Environmental Information Processing, Cellular Processes, Organismal Systems, Human Diseases		False
rs1046080	NUDT3	6	34254546	X-11444/ X-11470	34360451	rs1046080	Unknown		False
rs1046080	SIPA1L1	14	71787166	X-11444/ X-11470	72207946	rs1046080	Environmental Information Processing		False
rs10468017	ALDH1A2	15	58245622	1-palmitoylglycero-phosphoethanolamine	58790065	rs10468017	Metabolism	Metabolism of cofactors and vitamins	True
rs10468017	KIAA1467	12	13197218	1-palmitoylglycero-phosphoethanolamine	13295455	rs10468017	Unknown		False
rs10491431	RANBP3L	5	36248536	X-11445--5-alpha-pregnan-3beta,20alpha-disulfate	36302216	rs10491431	Unknown		False
rs10491431	DAB2	5	39371780	X-11445--5-alpha-pregnan-3beta,20alpha-disulfate	39462402	rs10491431	Cellular Processes		False
rs10504073	C8orf22	8	49966870	lysine/ glutaroyl carnitine	49988649	rs10504073	Unknown		False
rs10504073	EFCAB1	8	49623348	lysine/ glutaroyl carnitine	49647870	rs10504073	Unknown		False
rs10504073	RP11-10H3.1	8	50081098	lysine/ glutaroyl carnitine	50141484	rs10504073	Unknown		False
rs1053941	CCDC163P	1	45959538	erythritol	45965724	rs1053941	Unknown		False
rs1053941	MMACHC	1	45965752	erythritol	45976707	rs1053941	Organismal Systems		False
rs1053941	TMEM69	1	46152886	erythritol	46159995	rs1053941	Unknown		False
rs1053941	PRDX1	1	45976740	erythritol	45988719	rs1053941	Cellular Processes		False
rs1053941	MAST2	1	46252659	erythritol	46501796	rs1053941	Unknown		False
rs1053941	PIK3R3	1	46505812	erythritol	46642160	rs1053941	Environmental Information Processing, Cellular Processes, Organismal Systems, Human Diseases		False
rs1053941	NSUN4	1	46805849	erythritol	46830824	rs1053941	Unknown		False
rs1053941	ERI3	1	44686742	erythritol	44820932	rs1053941	Unknown		False
rs1053941	SZRD1	1	16679070	erythritol	16724640	rs1053941	Unknown		False
rs11101730	FUOM	10	135168658	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	135171529	rs11101730	Unknown		False
rs11101730	PAOX	10	135192695	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	135205198	rs11101730	Cellular Processes		False
rs11101730	ECHS1	10	135175984	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	135187193	rs11101730	Metabolism	Amino acid metabolism	True
rs1163251	ZNF697	1	120162045	Serine	120190396	rs1163251	Unknown		False
rs1163251	PHGDH	1	120202421	Serine	120286838	rs1163251	Metabolism	Amino acid metabolism	True
rs1163251	MACF1	1	39546988	Serine	39952849	rs1163251	Unknown		False
rs11647589	ACSM5	16	20420856	3-phenylpropionate (hydrocinnamate)	20452571	rs11647589	Metabolism	Carbohydrate metabolism	True
rs11647589	RP11-143N13.1	16	20598007	3-phenylpropionate (hydrocinnamate)	20618429	rs11647589	Unknown		False
rs11647589	AC004381.6	16	20817999	3-phenylpropionate (hydrocinnamate)	20860987	rs11647589	Unknown		False
rs11647589	ACSM1	16	20634559	3-phenylpropionate (hydrocinnamate)	20710212	rs11647589	Metabolism	Carbohydrate metabolism	True
rs11647589	ACSM3	16	20621565	3-phenylpropionate (hydrocinnamate)	20807446	rs11647589	Metabolism	Carbohydrate metabolism	True
rs11647589	PDILT	16	20370492	3-phenylpropionate (hydrocinnamate)	20416059	rs11647589	Unknown		False
rs11647589	EEF2K	16	22217603	3-phenylpropionate (hydrocinnamate)	22298554	rs11647589	Environmental Information Processing, Organismal Systems		False
rs11647589	TPT1-AS1	13	45915506	3-phenylpropionate (hydrocinnamate)	45965857	rs11647589	Unknown		False
rs1171615	SLC16A9	10	61410523	carnitine/ X-12798	61495760	rs1171615	Unknown		False
rs1171615	CCDC6	10	61548521	carnitine/ X-12798	61666414	rs1171615	Human Diseases		False
rs1185567	SLC17A1	6	25783125	dehydroisoandrosterone sulfate (DHEA-S)/ 4-androsten-3beta,17beta-diol disulfate 2	25832287	rs1185567	Unknown		False
rs1185567	SLC17A3	6	25833294	dehydroisoandrosterone sulfate (DHEA-S)/ 4-androsten-3beta,17beta-diol disulfate 2	25874471	rs1185567	Unknown		False
rs1185567	U91328.19	6	25992890	dehydroisoandrosterone sulfate (DHEA-S)/ 4-androsten-3beta,17beta-diol disulfate 2	26002003	rs1185567	Unknown		False
rs1185567	TRIM38	6	25963030	dehydroisoandrosterone sulfate (DHEA-S)/ 4-androsten-3beta,17beta-diol disulfate 2	25987384	rs1185567	Unknown		False
rs12141041	DOCK3	3	50712672	Alpha-hydroxyisovalerate	51421629	rs12141041	Unknown		False
rs12141041	CD2	1	117297007	Alpha-hydroxyisovalerate	117311850	rs12141041	Environmental Information Processing, Organismal Systems		False
rs12141041	MAN1A2	1	117910071	Alpha-hydroxyisovalerate	118071494	rs12141041	Metabolism, Genetic Information Processing	Carbohydrate metabolism	True
rs12550729	MAF1	8	145159402	5-oxoproline	145162514	rs12550729	Unknown		False
rs12550729	PARP10	8	145051321	5-oxoproline	145086940	rs12550729	Unknown		False
rs12550729	KIAA1875	8	145162629	5-oxoproline	145173218	rs12550729	Unknown		False
rs12550729	GPAA1	8	145137493	5-oxoproline	145141119	rs12550729	Metabolism	Carbohydrate metabolism	True
rs12550729	SHARPIN	8	145153536	5-oxoproline	145162961	rs12550729	Cellular Processes, Organismal Systems		False
rs12550729	EXOSC4	8	145134326	5-oxoproline	145135550	rs12550729	Genetic Information Processing		False
rs12550729	OPLAH	8	145106630	5-oxoproline	145118735	rs12550729	Metabolism	Amino acid metabolism	True
rs12550729	CTD-3065J16.9	8	145132905	5-oxoproline	145134168	rs12550729	Unknown		False
rs12550729	EPPK1	8	144939497	5-oxoproline	144952632	rs12550729	Unknown		False
rs12550729	PLEC	8	144989321	5-oxoproline	145050902	rs12550729	Unknown		False
rs12602901	RP11-81A22.5	17	4704454	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4710308	rs12602901	Unknown		False
rs12602901	ENO3	17	4851387	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4860426	rs12602901	Metabolism, Genetic Information Processing, Environmental Information Processing	Carbohydrate metabolism	True
rs12602901	INCA1	17	4891521	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4900905	rs12602901	Unknown		False
rs12602901	CAMTA2	17	4871287	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4890939	rs12602901	Unknown		False
rs12602901	RNF167	17	4843547	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4848517	rs12602901	Unknown		False
rs12602901	SPAG7	17	4862521	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4871167	rs12602901	Unknown		False
rs12602901	GP1BA	17	4835592	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4838325	rs12602901	Environmental Information Processing, Organismal Systems		False
rs12602901	C17orf107	17	4802713	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4806227	rs12602901	Unknown		False
rs12602901	C1QBP	17	5336197	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	5352128	rs12602901	Unknown		False
rs12602901	SLC25A11	17	4840425	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4843302	rs12602901	Unknown		False
rs12602901	SLC52A1	17	4935895	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4955304	rs12602901	Unknown		False
rs12602901	KIF1C	17	4901243	X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	4931696	rs12602901	Unknown		False
rs1260326	AC074117.10	2	27579360	glucose/ mannose	27590489	rs1260326	Unknown		False
rs1260326	NRBP1	2	27650657	glucose/ mannose	27665126	rs1260326	Unknown		False
rs1260326	KRTCAP3	2	27665233	glucose/ mannose	27669348	rs1260326	Unknown		False
rs1260326	ZNF513	2	27600098	glucose/ mannose	27603657	rs1260326	Unknown		False
rs1260326	ATRAID	2	27435155	glucose/ mannose	27440046	rs1260326	Unknown		False
rs1260326	PPM1G	2	27604061	glucose/ mannose	27632554	rs1260326	Unknown		False
rs1260326	SNX17	2	27593389	glucose/ mannose	27599995	rs1260326	Unknown		False
rs1260326	FNDC4	2	27714750	glucose/ mannose	27718112	rs1260326	Unknown		False
rs1260326	GCKR	2	27719709	glucose/ mannose	27746554	rs1260326	Unknown		False
rs12709013	GOT2	16	58741035	phenyllactate (PLA)/ phenylalanine	58768261	rs12709013	Metabolism, Organismal Systems	Amino acid metabolism	True
rs12709013	SLC38A7	16	58699013	phenyllactate (PLA)/ phenylalanine	58719008	rs12709013	Unknown		False
rs12709013	GEMIN8P2	16	58810444	phenyllactate (PLA)/ phenylalanine	58811467	rs12709013	Unknown		False
rs12709013	RP11-410D17.2	16	58767816	phenyllactate (PLA)/ phenylalanine	59142878	rs12709013	Unknown		False
rs13122250	TDO2	4	156775890	tryptophan	156841558	rs13122250	Metabolism	Amino acid metabolism	True
rs131794	SCO2	22	50961997	uridine	50964035	rs131794	Human Diseases		False
rs131794	TYMP	22	50964181	uridine	50968485	rs131794	Metabolism, Human Diseases	Xenobiotics biodegradation and metabolism	True
rs131794	CHKB	22	51017378	uridine	51039884	rs131794	Metabolism, Human Diseases	Lipid metabolism	True
rs131794	ODF3B	22	50968838	uridine	50971009	rs131794	Unknown		False
rs131794	CPT1B	22	51007290	uridine	51017096	rs131794	Metabolism, Environmental Information Processing, Organismal Systems, Human Diseases	Lipid metabolism	True
rs131794	CTA-384D8.36	22	50962854	uridine	50963209	rs131794	Unknown		False
rs13222543	DIP2B	12	50898890	androsterone sulfate/ 4-androsten-3beta,17beta-diol disulfate 2	51142450	rs13222543	Unknown		False
rs13222543	ANKIB1	7	91875548	androsterone sulfate/ 4-androsten-3beta,17beta-diol disulfate 2	92030698	rs13222543	Unknown		False
rs13278849	ADRA1A	8	26605667	levulinate (4-oxovalerate)	26724790	rs13278849	Environmental Information Processing, Organismal Systems		False
rs13278849	COX6B1P4	8	26693334	levulinate (4-oxovalerate)	26693817	rs13278849	Unknown		False
rs13278849	RP11-150O12.1	8	37278859	levulinate (4-oxovalerate)	37411701	rs13278849	Unknown		False
rs13278849	MSR1	8	15965387	levulinate (4-oxovalerate)	16424999	rs13278849	Cellular Processes		False
rs13375749	C1orf123	1	53679870	glutaroyl carnitine	53686289	rs13375749	Unknown		False
rs13375749	CPT2	1	53662101	glutaroyl carnitine	53679770	rs13375749	Metabolism, Organismal Systems	Lipid metabolism	True
rs13375749	TSPAN1	1	46640745	glutaroyl carnitine	46651630	rs13375749	Unknown		False
rs13538	ALMS1P	2	73872046	N-acetylornithine/ myo-inositol	73912703	rs13538	Unknown		False
rs13538	NAT8	2	73867959	N-acetylornithine/ myo-inositol	73869520	rs13538	Unknown		False
rs13538	TPRKB	2	73956231	N-acetylornithine/ myo-inositol	73964527	rs13538	Unknown		False
rs13538	ALMS1	2	73612886	N-acetylornithine/ myo-inositol	73837920	rs13538	Unknown		False
rs13538	AC104135.3	2	75145275	N-acetylornithine/ myo-inositol	75165545	rs13538	Unknown		False
rs1365505	SLC27A2	15	50474393	10-undecenoate (11:1n1)/ X-11438	50528592	rs1365505	Cellular Processes, Organismal Systems, Human Diseases		False
rs1365505	ATP8B4	15	50150435	10-undecenoate (11:1n1)/ X-11438	50411654	rs1365505	Unknown		False
rs1365505	GABPB1-AS1	15	50647606	10-undecenoate (11:1n1)/ X-11438	50659636	rs1365505	Unknown		False
rs1365505	LIPC	15	58702768	10-undecenoate (11:1n1)/ X-11438	58861151	rs1365505	Metabolism, Organismal Systems	Lipid metabolism	True
rs1394678	ACSM5	16	20420856	indolepropionate	20452571	rs1394678	Metabolism	Carbohydrate metabolism	True
rs1394678	RP11-143N13.1	16	20598007	indolepropionate	20618429	rs1394678	Unknown		False
rs1394678	ACSM3	16	20621565	indolepropionate	20807446	rs1394678	Metabolism	Carbohydrate metabolism	True
rs1394678	THUMPD1	16	20744986	indolepropionate	20753406	rs1394678	Unknown		False
rs1394678	ACSM1	16	20634559	indolepropionate	20710212	rs1394678	Metabolism	Carbohydrate metabolism	True
rs1394678	AC004381.6	16	20817999	indolepropionate	20860987	rs1394678	Unknown		False
rs1394678	TMEM159	16	21169698	indolepropionate	21191937	rs1394678	Unknown		False
rs1394678	PDILT	16	20370492	indolepropionate	20416059	rs1394678	Unknown		False
rs1394678	PALB2	16	23614488	indolepropionate	23652631	rs1394678	Genetic Information Processing		False
rs1394678	EEF2K	16	22217603	indolepropionate	22298554	rs1394678	Environmental Information Processing, Organismal Systems		False
rs1395	AC074117.10	2	27579360	pantothenate	27590489	rs1395	Unknown		False
rs1395	ATRAID	2	27435155	pantothenate	27440046	rs1395	Unknown		False
rs1395	NRBP1	2	27650657	pantothenate	27665126	rs1395	Unknown		False
rs1395	KRTCAP3	2	27665233	pantothenate	27669348	rs1395	Unknown		False
rs1395	SLC5A6	2	27422455	pantothenate	27435733	rs1395	Organismal Systems		False
rs1395	SNX17	2	27593389	pantothenate	27599995	rs1395	Unknown		False
rs1395	TRIM54	2	27505260	pantothenate	27530267	rs1395	Unknown		False
rs1395	CAD	2	27440258	pantothenate	27466811	rs1395	Metabolism	Amino acid metabolism	True
rs1395	ANXA4	2	69871557	pantothenate	70053596	rs1395	Unknown		False
rs1395	PAK2	3	196466728	pantothenate	196559518	rs1395	Environmental Information Processing, Cellular Processes, Organismal Systems, Human Diseases		False
rs1395	VPS54	2	64119280	pantothenate	64246206	rs1395	Unknown		False
rs1466788	STRIP1	1	110574199	Carnitine	110597263	rs1466788	Unknown		False
rs1466788	CCBL2	1	89401456	Carnitine	89454038	rs1466788	Unknown		False
rs1472631	LACTB	15	63413999	succinylcarnitine	63434260	rs1472631	Unknown		False
rs1472631	RPS27L	15	63418071	succinylcarnitine	63450220	rs1472631	Genetic Information Processing		False
rs1472631	TPM1	15	63334831	succinylcarnitine	63364114	rs1472631	Organismal Systems, Human Diseases		False
rs1472631	RP11-321G12.1	15	63682335	succinylcarnitine	63729347	rs1472631	Unknown		False
rs1472631	APH1B	15	63568217	succinylcarnitine	63601325	rs1472631	Environmental Information Processing		False
rs1472631	RAB8B	15	63481668	succinylcarnitine	63559981	rs1472631	Cellular Processes		False
rs1472631	CEP152	15	49005125	succinylcarnitine	49102791	rs1472631	Unknown		False
rs1472631	KIAA0101	15	64657193	succinylcarnitine	64679886	rs1472631	Unknown		False
rs1498694	PAH	12	103230663	phenylalanine	103344646	rs1498694	Metabolism	Metabolism of cofactors and vitamins	True
rs1498694	TDG	12	104359582	phenylalanine	104382652	rs1498694	Genetic Information Processing		False
rs1498694	RP11-611E13.2	12	70297813	phenylalanine	70636673	rs1498694	Unknown		False
rs1509123	FBXO39	17	6679542	citrate	6700420	rs1509123	Unknown		False
rs1509123	TEKT1	17	6692452	citrate	6735080	rs1509123	Unknown		False
rs15676	C9orf114	9	131581930	indolelactate	131592100	rs15676	Unknown		False
rs15676	ENDOG	9	131580753	indolelactate	131581464	rs15676	Cellular Processes		False
rs15676	TBC1D13	9	131549483	indolelactate	131572711	rs15676	Unknown		False
rs15676	PHYHD1	9	131683174	indolelactate	131704320	rs15676	Unknown		False
rs15676	PKN3	9	131464802	indolelactate	131483147	rs15676	Environmental Information Processing, Human Diseases		False
rs15676	LRRC8A	9	131644391	indolelactate	131680318	rs15676	Unknown		False
rs15676	CCBL1	9	131595221	indolelactate	131644773	rs15676	Unknown		False
rs15676	AMPD3	11	10329860	indolelactate	10529126	rs15676	Metabolism	Nucleotide metabolism	True
rs15676	PARVB	22	44395091	indolelactate	44568829	rs15676	Cellular Processes		False
rs15676	SEC16A	9	139334549	indolelactate	139372141	rs15676	Unknown		False
rs16876394	BHMT2	5	78365540	betaine	78385289	rs16876394	Metabolism	Amino acid metabolism	True
rs16876394	BHMT	5	78407602	betaine	78428108	rs16876394	Metabolism	Amino acid metabolism	True
rs1697421	NBPF3	1	21766621	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	21811498	rs1697421	Unknown		False
rs1697421	ALPL	1	21835858	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	21904905	rs1697421	Metabolism	Metabolism of cofactors and vitamins	True
rs1697421	NAV1	1	201598532	DSGEGDFXAEGGGVR/ ADpSGEGDFXAEGGGVR	201796102	rs1697421	Unknown		False
rs170149	NFIX	19	13106422	citrate	13209610	rs170149	Unknown		False
rs17134585	AKR1C3	10	5077546	androsterone sulfate/ epiandrosterone sulfate	5149878	rs17134585	Metabolism, Organismal Systems	Metabolism of cofactors and vitamins	True
rs17134585	RP11-445P17.8	10	5307996	androsterone sulfate/ epiandrosterone sulfate	5313199	rs17134585	Unknown		False
rs17134585	RSU1	10	16632610	androsterone sulfate/ epiandrosterone sulfate	16859527	rs17134585	Unknown		False
rs17279437	LIMD1	3	45596886	X-11315/ pyroglutamine	45727830	rs17279437	Environmental Information Processing		False
rs17279437	EXOSC7	3	45016733	X-11315/ pyroglutamine	45054160	rs17279437	Genetic Information Processing		False
rs174548	FADS1	11	61567099	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	61596790	rs174548	Metabolism	Lipid metabolism	True
rs174548	FADS2	11	61583728	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	61634826	rs174548	Metabolism, Organismal Systems	Lipid metabolism	True
rs174548	TMEM258	11	61535973	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	61560108	rs174548	Unknown		False
rs174548	FADS3	11	61640991	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	61659523	rs174548	Unknown		False
rs174548	DDB1	11	61066923	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	61110045	rs174548	Genetic Information Processing, Human Diseases		False
rs174548	GANAB	11	62392298	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	62414104	rs174548	Metabolism, Genetic Information Processing	Carbohydrate metabolism	True
rs174548	RSF1	11	77371041	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	77532063	rs174548	Unknown		False
rs174548	PPME1	11	73882256	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	73965748	rs174548	Unknown		False
rs174548	CAPN5	11	76777979	arachidonate (20:4n6)/ dihomo-linolenate (20:3n3 or n6)	76837201	rs174548	Unknown		False
rs17806888	SUCLG2	3	67410884	succinylcarnitine	67705038	rs17806888	Metabolism	Carbohydrate metabolism	True
rs1800775	NLRC5	16	57023397	X-12038	57117443	rs1800775	Unknown		False
rs1800775	CETP	16	56995762	X-12038	57017757	rs1800775	Organismal Systems		False
rs1800775	CDH3	16	68670092	X-12038	68756519	rs1800775	Environmental Information Processing		False
rs1800775	NKD1	16	50582241	X-12038	50670647	rs1800775	Environmental Information Processing		False
rs1853207	HELLS	10	96305547	X-11247	96373662	rs1853207	Unknown		False
rs1853207	CYP2C9	10	96698415	X-11247	96749147	rs1853207	Metabolism, Organismal Systems, Human Diseases	Xenobiotics biodegradation and metabolism	True
rs1853207	C10orf129	10	96953957	X-11247	96988685	rs1853207	Unknown		False
rs1853207	TBC1D12	10	96162261	X-11247	96295687	rs1853207	Unknown		False
rs1853207	CYP2C18	10	96443251	X-11247	96495947	rs1853207	Metabolism, Organismal Systems, Human Diseases	Metabolism of cofactors and vitamins	True
rs1853207	PDLIM1	10	96997329	X-11247	97050781	rs1853207	Unknown		False
rs1934955	C10orf129	10	96953957	X-02249	96988685	rs1934955	Unknown		False
rs1934955	NOC3L	10	96075085	X-02249	96122716	rs1934955	Unknown		False
rs1934955	GPR158	10	25463991	X-02249	25891155	rs1934955	Unknown		False
rs1934955	TLL2	10	98124363	X-02249	98273675	rs1934955	Unknown		False
rs1934963	C10orf129	10	96953957	X-11787	96988685	rs1934963	Unknown		False
rs1934963	CYP2C8	10	96796530	X-11787	96829254	rs1934963	Metabolism, Organismal Systems, Human Diseases	Xenobiotics biodegradation and metabolism	True
rs1934963	IDE	10	94211441	X-11787	94333833	rs1934963	Unknown		False
rs2007084	ANPEP	15	90328120	HWESASXX	90358633	rs2007084	Metabolism, Organismal Systems	Amino acid metabolism	True
rs2007084	PEX11A	15	90220995	HWESASXX	90234014	rs2007084	Cellular Processes		False
rs2007084	TNIK	3	170779128	HWESASXX	171178197	rs2007084	Unknown		False
rs2062541	ABCC1	16	16043434	hexanoylcarnitine/ octanoylcarnitine	16236931	rs2062541	Environmental Information Processing, Organismal Systems, Human Diseases		False
rs2066938	SPPL3	12	121200313	butyrylcarnitine	121342174	rs2066938	Unknown		False
rs2066938	C12orf43	12	121440316	butyrylcarnitine	121454305	rs2066938	Unknown		False
rs2066938	ACADS	12	121163538	butyrylcarnitine	121177811	rs2066938	Metabolism	Amino acid metabolism	True
rs2066938	UNC119B	12	121148238	butyrylcarnitine	121161443	rs2066938	Unknown		False
rs2066938	MLEC	12	121124672	butyrylcarnitine	121139667	rs2066938	Unknown		False
rs2066938	RP11-173P15.7	12	121178273	butyrylcarnitine	121199395	rs2066938	Unknown		False
rs2066938	FBXO21	12	117581146	butyrylcarnitine	117628336	rs2066938	Unknown		False
rs2070895	LIPC	15	58702768	1-palmitoylglycero-phosphoethanolamine	58861151	rs2070895	Metabolism, Organismal Systems	Lipid metabolism	True
rs2070895	CPQ	8	97657455	1-palmitoylglycero-phosphoethanolamine	98161882	rs2070895	Unknown		False
rs2160860	IDO2	8	39792133	X-12100--hydroxytryptophan*	39873910	rs2160860	Metabolism, Human Diseases	Amino acid metabolism	True
rs2160860	IDO1	8	39759794	X-12100--hydroxytryptophan*	39785963	rs2160860	Metabolism, Human Diseases	Amino acid metabolism	True
rs2187375	LIPG	18	47087069	X-03094	47119272	rs2187375	Metabolism, Organismal Systems	Lipid metabolism	True
rs2235649	TELO2	16	1543345	X-12556	1560427	rs2235649	Genetic Information Processing, Environmental Information Processing		False
rs2235649	HAGH	16	1845621	X-12556	1876967	rs2235649	Metabolism	Carbohydrate metabolism	True
rs2235649	NUBP2	16	1832902	X-12556	1839192	rs2235649	Unknown		False
rs2235649	FAHD1	16	1877196	X-12556	1890208	rs2235649	Metabolism	Amino acid metabolism	True
rs2235649	EME2	16	1823208	X-12556	1831709	rs2235649	Genetic Information Processing		False
rs2235649	CHTF18	16	838046	X-12556	850737	rs2235649	Unknown		False
rs2235649	MRPS34	16	1821891	X-12556	1823156	rs2235649	Unknown		False
rs2235649	NME3	16	1820319	X-12556	1821731	rs2235649	Metabolism	Xenobiotics biodegradation and metabolism	True
rs2235649	MEIOB	16	1883984	X-12556	1934295	rs2235649	Unknown		False
rs2235649	IGFALS	16	1840414	X-12556	1844972	rs2235649	Unknown		False
rs2235649	OXR1	8	107371704	X-12556	107764922	rs2235649	Unknown		False
